Zip,State,City,County,TypeCode,RuralCode
19144,PA,Philadelphia,Philadelphia,,U
19145,PA,Philadelphia,Philadelphia,,U
19146,PA,Philadelphia,Philadelphia,,U
19147,PA,Philadelphia,Philadelphia,,U
19148,PA,Philadelphia,Philadelphia,,U
19149,PA,Philadelphia,Philadelphia,,U
19150,PA,Philadelphia,Philadelphia,,U
19151,PA,Philadelphia,Philadelphia,,U
19152,PA,Philadelphia,Philadelphia,,U
19153,PA,Philadelphia,Philadelphia,,S
19154,PA,Philadelphia,Philadelphia,,U
19155,PA,Philadelphia,Philadelphia,e,U
19160,PA,Philadelphia,Philadelphia,e,U
19161,PA,Philadelphia,Philadelphia,b,U
19162,PA,Philadelphia,Philadelphia,b,U
19170,PA,Philadelphia,Philadelphia,b,U
19171,PA,Philadelphia,Philadelphia,b,U
19172,PA,Philadelphia,Philadelphia,b,U
19173,PA,Philadelphia,Philadelphia,b,U
19175,PA,Philadelphia,Philadelphia,b,U
19176,PA,Philadelphia,Philadelphia,e,U
19177,PA,Philadelphia,Philadelphia,b,U
19178,PA,Philadelphia,Philadelphia,b,U
19179,PA,Philadelphia,Philadelphia,b,U
19181,PA,Philadelphia,Philadelphia,b,U
19182,PA,Philadelphia,Philadelphia,b,U
19183,PA,Philadelphia,Philadelphia,b,U
19184,PA,Philadelphia,Philadelphia,b,U
19185,PA,Philadelphia,Philadelphia,b,S
19187,PA,Philadelphia,Philadelphia,b,U
19188,PA,Philadelphia,Philadelphia,b,U
19190,PA,Philadelphia,Philadelphia,b,U
19191,PA,Philadelphia,Philadelphia,b,U
19192,PA,Philadelphia,Philadelphia,b,U
19193,PA,Philadelphia,Philadelphia,b,U
19194,PA,Philadelphia,Philadelphia,b,U
19195,PA,Philadelphia,Philadelphia,b,U
